,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
MPHOSPH8,2414.32779,1299.312283,1719.051682,1600.95496,1951.116604,1912.090537
GALNT7,1328.372713,203.5674105,1625.845952,2800.275146,4010.578755,1986.083316
UTP20,2357.95224,1763.838696,1516.835446,1225.369932,1821.294613,2111.976196
GATAD1,1185.319346,2581.334103,2005.737738,1690.741263,1879.420533,1688.333237
DHX40,1325.944733,1721.103905,2478.26568,2091.146443,1739.570126,1827.492328
MRTO4,2052.989978,2033.409892,1527.338621,1062.681254,1471.252651,2489.817566
SLC25A24,27.4302525,1911.947242,1629.374395,918.1908944,2461.027063,3284.230868
RECQL4,789.8524244,1224.157861,2074.409736,2704.595568,1576.228925,1937.241185
NUP107,1221.962728,1961.91234,1860.706429,1645.123113,1448.267869,2230.39773
ITFG1,1853.264366,2223.561021,1330.402647,1567.663591,1705.262357,1788.844061
CSK,1432.522438,2196.32326,1912.015756,1696.027587,1770.774773,1693.116397
VPS52,1833.752318,2013.078339,1635.615382,1812.582364,1446.355633,1612.16997
KHDC4,1745.535253,1667.320355,1683.124095,1393.967556,1782.952326,2131.586477
SCYL2,1679.12975,2048.638051,1461.933175,1744.502339,1807.458514,1677.134769
TMEM185B,1546.198338,1832.055188,849.238661,1751.433406,1664.382801,2522.355294
PTPN13,2066.342614,8.787013181,1170.082035,1345.866881,2779.195218,3696.164764
ARNT,1460.425599,1797.590301,1765.2859,1643.864136,2305.110187,1009.049591
RIPOR1,469.3472117,1671.236025,1845.202046,1729.264495,2723.713944,1153.619258
UNC13B,1703.728256,2244.739931,920.2925674,1726.795796,1675.175341,1558.58141
RNF26,1318.461835,2072.833951,1536.260935,1638.073578,1697.374993,1922.188119
ECHDC1,1998.175146,1414.814269,1636.446494,1769.552779,1589.235493,1687.497972
ESPL1,1186.627526,1585.297254,1732.081775,2672.325704,700.7943716,2251.336437
USP33,1701.477992,1212.543419,1517.269481,1612.519163,1758.384277,2106.919795
FAM160B2,1647.311716,1562.092405,2078.591917,1665.631925,2448.345509,1059.157975
GSTK1,1958.44705,1585.519937,1653.781748,1629.818858,2216.502121,1099.583054
UTP18,1994.742444,1668.693051,1610.578905,1242.677893,1437.362919,1785.265304
WIPI2,1458.093948,1311.576856,1762.114025,1613.689475,1937.075159,1653.803889
MGA,1715.391037,923.0371122,1547.388265,2044.749094,2574.730975,1505.646496
FAAP100,1593.564328,1822.384656,1958.268713,1660.321699,1494.622296,1319.804072
PHF8,1001.555618,1467.886292,1528.012829,2177.642511,1818.06923,1686.822579
HMCES,1595.273814,1990.635892,1600.446578,1449.521244,1176.623257,1773.966702
PIGG,1567.920677,1244.382573,1484.391245,1615.309152,1964.280225,1681.633443
CLCN6,1630.01139,1228.871502,2030.913987,1797.089281,1542.531784,1464.312006
ARFIP2,2446.533818,1554.112255,1580.511213,970.793861,1660.087745,1589.295553
XAB2,1421.950783,1633.988022,1845.408094,1603.601639,1548.881617,1256.623824
CDT1,1647.600326,2562.709311,1491.126394,1501.236352,701.166169,1856.78415
ECI2,1453.566173,1994.987418,1587.965427,1630.056286,1009.607475,1535.029878
CRAT,2404.499328,1645.150536,1807.965551,1093.095569,1466.160599,651.9168676
ZNF84,843.6499982,1870.451558,1568.444612,2304.156167,1347.376826,1539.185215
GPSM1,756.0823238,1654.565372,2261.962671,1562.996859,1527.929169,1285.33166
ADI1,1462.737852,2598.92562,1533.421872,1554.675966,719.465126,1700.05248
AC010618.1,1763.928663,1556.769577,1560.50608,1526.142819,1531.212083,1330.827394
PAPSS1,972.4047216,2243.130628,1366.495831,1602.322896,1723.52092,1481.583463
HIP1R,1366.667157,1546.304251,2408.96342,2965.425372,442.1112541,1536.744613
ABHD17A,1274.913013,1733.081019,1568.628571,1583.140252,1508.405814,1468.536726
LIX1L,1411.317071,1475.942165,1592.413138,1962.798151,2571.831605,671.100393
CERCAM,771.6060977,2100.452958,1518.122318,1059.806307,1686.02995,1504.378607
BCKDK,1384.2235,1961.52853,1466.196436,1001.529924,1518.916471,1556.575359
CLCC1,834.3553092,1532.609078,1262.330159,1434.107945,1808.580329,2100.446237
INTS14,1466.670075,1777.104563,1354.333485,1152.35434,1599.085229,1469.096848
THUMPD3,1486.55471,1296.785243,959.0395009,1489.647912,1443.733582,1872.456434
SOS2,1976.608119,1064.183524,1617.488414,1466.363411,1452.182694,859.9580371
NAGA,1371.280684,1828.283601,1199.243697,2434.323348,1543.236699,680.4696324
TMUB1,982.2789257,1878.727262,1487.545794,1317.076335,1426.031309,1645.785604
PGM3,1740.558176,1394.97597,1477.850759,1426.662437,2015.378015,1010.247269
PLPPR2,1432.031342,1308.408676,1657.8912,1465.249395,2241.465606,835.0627438
MLH1,1393.562318,1775.390641,1369.469576,1147.033224,1574.922068,1490.039673
