,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
AQP8,0.428483002,0.202182898,0.423165584,1.003595748,0.094401925,1.116694139
ARHGAP24,0.346891656,0.001586561,0.116173878,1.13531931,1.098576654,0.192388561
ARHGAP9,0.104409315,1.069238492,1.214753476,0.017997802,0.115886846,0.152035254
ARHGEF16,1.078468341,0.237669614,1.100093786,0.120532742,0.084145217,0.463973018
ARHGEF18,0.016399323,1.165060476,0.157650107,0.099306153,0.005725933,1.128841778
ARID2,1.012315435,0.105478034,1.268257442,0.130214904,0.040475062,0.06072413
ARIH1,0.329171378,1.022007589,0.600118176,0.277546231,0.021971652,1.037379809
ARL1,0.069193211,1.035396265,0.44956909,0.20145303,1.159360787,0.054958327
ARL9,0.386868818,1.075978241,0.422705301,1.080675216,0.097434838,0.056901381
ARRDC2,1.066610913,0.373125922,1.006837757,0.216716888,0.0818101,0.567805866
ARSJ,0.243870397,1.111530423,1.110033734,0.198029839,0.246360004,0.199022757
ASAH2B,0.027201489,0.112395322,0.480632063,1.017701702,0.422466144,1.099132594
ASCL1,0.366587581,0.480954809,1.015884015,0.002745013,1.126469592,0.001036638
ASIC5,0.441019707,0.300316182,0.068555342,1.015487814,0.070424261,1.158060259
ATG2B,1.039481877,0.367152994,1.031873888,0.280464797,0.547064669,0.092945132
ATG9B,1.095836138,1.156132078,0.193248388,0.206139492,0.17895448,0.131549645
ATP10D,1.240365587,1.050876865,0.026163718,0.069303537,0.134904396,0.011444507
ATP1B1,0.33153049,0.377479659,1.045398488,1.118403851,0.173838011,0.200894205
ATP6V1C1,0.276295701,1.065784145,1.056807101,0.242903784,0.00036228,0.527814249
ATXN1L,0.388573928,0.320004771,1.068041741,0.05886459,1.113236348,0.172628354
AXIN2,1.074067443,0.106059082,0.293333221,1.114042579,0.054888591,0.414305759
B3GNT2,1.041353612,0.541363245,0.019536248,1.055488813,0.160996063,0.385768229
B3GNT6,0.063879606,0.449662061,0.4585676,0.004240686,1.025854813,1.094399273
BCL2L2,0.366787183,1.125096113,1.011655426,0.030580569,0.440850993,0.218085065
BICC1,0.336156165,1.079946566,0.153103236,0.105307025,0.005416128,1.163108597
BNC1,1.17772353,0.272732933,0.128707837,0.348889138,1.008947735,0.221327428
BRCAT107,0.071762639,1.094142572,0.170967561,0.079828311,0.114999354,1.189765315
BRD3,0.180013927,1.117832677,1.118119407,0.078797701,0.298904908,0.197401952
BSPH1,0.154901283,0.288032767,1.208753082,0.256225664,1.00015073,0.180754798
BTBD8,1.106710632,0.074071327,0.24677647,0.253314895,0.504952857,1.027777812
C10orf120,0.021723307,0.409441435,1.140985007,1.050137098,0.306314498,0.009444279
C10orf131,1.009091914,1.127773253,0.296209395,0.362191064,0.347180088,0.192539032
C10orf26,0.462685839,1.034580628,1.017723342,0.438486907,0.281315278,0.273973633
C10orf47,1.075220411,0.26564932,0.307120924,0.561099265,0.074310277,1.012581112
C11orf94,1.236067792,0.201070858,0.025039445,0.001828727,0.03534972,1.047135937
C11orf95,0.026136279,0.051542141,1.105618175,0.337760852,0.353769422,1.096220883
C11orf96,0.263377042,1.095520752,0.229781276,0.171500019,1.102749113,0.314429938
C12orf27,1.072580438,1.035292576,0.429565014,0.023504663,0.12491297,0.493685459
C12orf68,0.604395787,0.068003429,1.057809909,0.107213984,1.010269246,0.381637712
C12orf70,1.014790017,1.09292932,0.542782017,0.203312876,0.320767923,0.059438084
C13orf33,0.121066744,1.147816047,0.380416579,1.014681702,0.212815185,0.339030675
C14orf166,0.32471212,1.136159554,1.089894528,0.101440266,0.195079934,0.184807426
C14orf49,1.099653561,0.407881763,1.003459876,0.194569857,0.49615518,0.010102755
C15orf51,0.162839005,1.214946169,1.005706491,0.1797196,0.10459333,0.330713603
C15orf55,0.181909659,1.022947126,0.012090497,1.211822555,0.245956596,0.240831868
C15orf61,0.337844244,1.030484371,0.115212478,1.129464165,0.433012717,0.119023798
C16orf58,0.110670452,0.096494911,0.480093271,1.095134492,1.073404776,0.251198192
C16orf70,0.082470365,0.107718529,0.05581599,0.328133144,1.166697888,1.084569628
C17orf67,0.07448095,0.149560672,0.039127703,1.12024558,1.164915345,0.15887719
C17orf98,0.355666728,1.003019752,0.214580803,1.142592762,0.407884473,0.127225537
C19orf12,0.463430871,1.017901392,0.021314,1.085590884,0.065192789,0.482248168
C1QTNF2,0.457813087,0.049563119,0.11967267,0.354965647,1.108389849,1.0420015
C20orf197,0.159279414,0.452492112,0.341971119,1.020478521,0.173007539,1.117271389
C20orf62,0.14915435,1.061842561,1.170340636,0.306794702,0.227077181,0.039061246
C21orf131,0.0601169,0.094338435,0.356726806,1.140698974,1.095864225,0.157436723
C21orf99,0.41653231,1.038338249,1.054560985,0.130668465,0.029595674,0.533827837
C22orf15,0.07124862,1.065827281,1.176260607,0.319554572,0.122940549,0.157429317
C22orf28,0.18018639,0.18411435,0.310751552,1.145216924,1.067564392,0.22917106
